Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1117286,Greedy Bastard Diary,Eric Idle,"Idle, Eric",,"=""0753820854""","=""9780753820858""",4,3.58,Orion Publishing Group,Paperback,,2006,2005,2020/03/21,2020/03/21,,,read,"For me, a better thing in this book was irony with which write Eric Idle. Although I don't know very more about Monty Python. It was interesting to know better about comedians, jokes and laugh) ",,,1,0
4703581,The City & the City,China Miéville,"Miéville, China",,"=""0345497511""","=""9780345497512""",5,3.90,Del Rey/Ballantine Books,Hardcover,312,2009,2009,,2019/11/21,,,read,,,,1,0
68494,"Perdido Street Station (New Crobuzon, #1)",China Miéville,"Miéville, China",,"=""0345459407""","=""9780345459404""",5,3.97,Ballantine Del Rey,Mass Market Paperback,710,2003,2000,,2019/11/21,,,read,,,,1,0
77507,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553560735""","=""9780553560732""",4,3.86,Spectra Books,Mass Market Paperback,572,1993,1992,,2019/11/21,,,read,,,,1,0
6597651,The Windup Girl,Paolo Bacigalupi,"Bacigalupi, Paolo",,"=""1597801577""","=""9781597801577""",5,3.75,Night Shade Books,Hardcover,359,2009,2009,,2019/11/21,,,read,,,,1,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",5,4.00,William Morrow,Kindle Edition,872,2015,2015,,2019/11/21,,,read,,,,1,0
9265453,Embassytown,China Miéville,"Miéville, China",,"=""0345524497""","=""9780345524492""",5,3.89,Del Rey,Hardcover,345,2011,2011,,2019/11/21,,,read,,,,1,0
17934530,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104093""","=""9780374104092""",4,3.76,"Farrar, Straus and Giroux",Paperback,195,2014,2014,,2019/11/21,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Cixin Liu,"Liu, Cixin",Ken Liu,"=""""","=""""",4,4.09,Tor Books,Hardcover,399,2014,2006,,2019/11/21,,,read,,,,1,0
17863,Accelerando (Singularity),Charles Stross,"Stross, Charles",,"=""0441014151""","=""9780441014156""",4,3.88,Ace,Mass Market Paperback,415,2006,2005,,2019/11/21,,,read,,,,1,0
36510196,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""""","=""""",4,4.23,Tor Books,Kindle Edition,318,2007,2005,,2019/11/21,,,read,,,,1,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",4,4.26,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2019/11/21,,,read,,,,1,0
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",5,4.21,Bantam Books,Hardcover,224,2004,1950,,2019/11/21,,,read,,,,1,0
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",4,4.29,Orbit,Paperback,592,2011,2011,,2019/11/21,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",4,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2019/11/21,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",4,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,,2019/11/21,,,read,,,,1,0
20706284,"Ancillary Sword (Imperial Radch, #2)",Ann Leckie,"Leckie, Ann",,"=""0316246654""","=""9780316246651""",5,4.07,Orbit,Paperback,359,2014,2014,,2019/11/21,,,read,,,,1,0
22886612,"Nemesis Games (The Expanse, #5)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.43,Orbit,Kindle Edition,536,2015,2015,,2019/11/21,,,read,,,,1,0
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""031624662X""","=""9780316246620""",5,3.98,Orbit,Paperback,416,2013,2013,,2019/11/21,,,read,,,,1,0
